# id x y z vpar mu active
        18    7.883621277802112E-01    6.342882418742913E-01    5.222263449376487E-01   -2.649378769217742E-01    3.608232097183289E-01 T
        19    8.797354124578955E-01    5.798451567246149E-01    1.509100153539750E-01    6.998371955246949E-02    3.986017606086925E-01 T
        20    2.876694561827009E-01    1.630149365132596E-01    9.353389964321573E-01    6.925246822461406E-01    8.692963260352772E-01 T
        21    6.173255143561190E-01    6.330444799643369E-01    9.716100862867304E-01    2.215986518356128E-01    9.661377883485511E-01 T
        22    8.426928988826018E-01    5.994307567791628E-01    4.158109171083340E-02    3.388987397706815E-01    2.312176166811736E+00 T
        23    8.937786808985215E-01    9.134868336435330E-01    7.994911558374804E-01    5.630906112540381E-02    9.921726628610771E-01 T
        24    3.794909789058550E-01    5.210755817338699E-01    9.129025575681705E-01   -1.650180682619692E-01    3.348184658490308E-01 T
        25    2.860958586706117E-01    3.160572940660571E-01    9.097317486661448E-01    6.712872832399578E-01    8.816545805748495E-01 T
        26    1.298972941113794E-01    4.836993869677526E-01    5.831579195952034E-02   -9.621674703693359E-01    4.627025067729026E-01 T
        27    7.898162000396487E-01    3.521276659654498E-01    3.193764303384995E-01   -2.053584382663099E+00    9.502737937513391E-01 T
        28    5.748112910586293E-01    2.561337598580390E-01    9.755326300948602E-02   -6.376351378689529E-01    5.192874275572892E-01 T
        29    8.591504000147542E-01    4.406266952728435E-01    5.571041845014268E-01    4.550113433775881E-01    3.168927534081903E-01 T
        30    4.414568578665830E-01    9.743457896354923E-01    2.225490709097308E-01    2.018198194961634E+00    3.686136238172828E+00 T
        31    2.381516507642722E-01    4.349406173662957E-01    5.299419918079188E-01   -9.137136634625919E-01    6.320736815175169E-01 T
        32    6.583529174593017E-02    8.747082986831627E-01    4.862549723943103E-01    4.449416196052082E-01    3.644596567336270E-01 T
        33    5.717076037751523E-02    1.868952012726385E-01    6.186111256985526E-01   -8.644365187258138E-01    1.782026711941031E+00 T
        34    5.862543214227764E-01    9.964626868111528E-03    3.405074915148678E-01   -9.571470188068050E-01    4.980499413556712E-01 T
        35    9.601525966741724E-01    1.574404914773166E-01    5.056357096158701E-02   -1.523042553593669E+00    1.268350844571734E+00 T
        36    6.749961545449890E-01    7.049720773844573E-01    3.663510013047918E-01    6.922462050800786E-02    1.836422405075799E-02 T
        37    4.083529884042955E-01    8.349946886368076E-01    5.098842514836962E-01   -6.565419722494499E-01    1.687306265090217E+00 T
        38    1.840441320334285E-01    6.255518202945634E-01    1.359057550091916E-01    6.414038849863326E-01    1.968741951813152E-01 T
        39    4.114423031079300E-01    5.655320125706419E-01    3.867243402739790E-01    8.100068512534893E-01    1.034291346280567E+00 T
        40    4.123442810778025E-01    8.035645212559112E-01    2.026853852557017E-01   -1.107065009332384E+00    2.567919316091876E+00 T
        41    6.342990724392888E-01    9.272152924455004E-01    5.414985947326316E-02   -8.195807922364158E-01    1.049362122660314E+00 T
        42    6.752276160807319E-01    2.125273590664022E-01    3.777819710150188E-01   -3.559140991624962E-01    4.375290903335207E-01 T
        43    8.351619076424932E-02    3.462896255486507E-01    8.220634367996693E-01   -1.056243995115172E+00    2.078310852060710E+00 T
        44    3.017812050195138E-01    5.263722943748026E-01    9.010773595670143E-02    5.692413263888340E-01    4.207855953254523E-01 T
        45    6.814448183271609E-01    4.254804236544708E-01    9.802069222184960E-01    2.167557352280683E-01    1.465208723505881E-01 T
        46    7.488678567503027E-01    1.073097438436907E-01    9.104368791550939E-01    9.151748439518494E-01    3.238694267131291E+00 T
        47    9.619250757118214E-02    5.982337054017639E-01    5.033626111214108E-01    1.261327519985934E+00    9.650191058720131E-01 T
        48    3.825889793803006E-02    8.659968292415120E-01    2.373259444717610E-01    3.096597857339375E-01    1.277025094501539E-01 T
        49    7.575088426115891E-01    7.342625789143762E-01    1.706522748884028E-01   -1.729361798488513E+00    2.143222984397744E-01 T
        50    7.850348358128522E-01    6.758041657923974E-02    2.726553673803684E-01    3.482201384124139E-01    1.145922303606873E+00 T
        51    3.746870354395220E-01    3.958135358667622E-01    2.310020109671446E-01    1.403975574441043E-01    8.642309384378190E-01 T
        52    2.942059692140234E-01    7.902600255440937E-01    8.610285746262437E-01    6.300755737018336E-01    1.340988721724067E+00 T
        53    1.776925066592147E-01    1.296274433328517E-01    3.991719762390134E-01   -1.924546734936212E+00    2.499183137133561E+00 T
        54    5.514245805478131E-01    4.647274891924005E-01    5.795055016047875E-02    1.084884027344124E+00    6.342116728764811E-02 T
        55    6.931828792766103E-01    8.108460211986622E-01    8.403784701423752E-01   -2.435018173502153E+00    9.321655160119152E-01 T
        56    2.194923544836315E-01    5.851606932070406E-01    2.713437459144524E-01    3.491661628294713E-01    4.863863830309004E-01 T
        57    5.933136242774556E-01    6.558982562805671E-02    4.134447953826867E-01    1.210267037275131E+00    6.815569016274771E-01 T
        58    4.542096364978827E-01    8.102680524280840E-01    2.162011855859397E-01   -5.779600714639888E-01    1.909735369856580E+00 T
        59    2.071067952998236E-01    4.823928474666809E-01    1.382229239756222E-01    6.579888382002786E-01    3.990797664403737E-01 T
        60    8.741545126086613E-01    4.911818651611264E-01    5.997484379508857E-01    1.172802086228365E+00    1.616798283030850E+00 T
        61    4.503622126577711E-01    6.876496113114094E-02    3.717145908381020E-02    3.438761011813898E-02    1.392523362789821E+00 T
        62    9.952498809763587E-01    7.929361405992869E-01    6.722551070311744E-01    2.899756759721682E-01    4.709631863934501E-01 T
        63    7.543828185883494E-02    4.069081889057969E-01    1.427890501724164E-02    6.103769988863226E-01    1.690365991945083E-01 T
        64    1.580364913163149E-01    1.479927749918739E-01    6.223437061328234E-01    4.126787111999350E-02    1.063099362210043E+00 T
        65    7.179850992708607E-01    1.324201668199806E-01    4.519595620481602E-01    1.875528457983499E+00    3.052428432198924E-01 T
        66    9.612824915672555E-01    8.551843096228627E-01    8.094646337911442E-01    3.287804534673864E-01    9.793176616677607E-01 T
        67    8.958068814599887E-01    9.637215236447815E-01    7.464327170117047E-02   -4.066044420831837E-01    5.706233672687135E-01 T
        68    4.361750968234513E-01    5.294697158382357E-01    3.651842129923061E-01   -3.893077515649139E-01    2.452998293820591E+00 T
