x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -8.064516e+00 -8.064516e+00 3.013257e-01 2.430046e-01 -4.354643e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -7.419355e+00 3.097561e-01 2.498033e-01 -7.646155e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -6.774194e+00 3.145234e-01 2.536479e-01 -1.133766e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -6.129032e+00 3.147072e-01 2.537962e-01 -1.538806e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -5.483871e+00 3.093953e-01 2.495124e-01 -1.972615e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -4.838710e+00 2.977578e-01 2.401273e-01 -2.424752e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -4.193548e+00 2.791378e-01 2.251111e-01 -2.881422e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -3.548387e+00 2.531494e-01 2.041527e-01 -3.325834e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -2.903226e+00 2.197716e-01 1.772351e-01 -3.739005e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -2.258065e+00 1.794203e-01 1.446938e-01 -4.101036e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -1.612903e+00 1.329839e-01 1.072451e-01 -4.392760e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -9.677419e-01 8.180645e-02 6.597295e-02 -4.597581e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -3.225806e-01 2.761377e-02 2.226917e-02 -4.703249e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 3.225806e-01 -2.761377e-02 -2.226917e-02 -4.703249e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 9.677419e-01 -8.180645e-02 -6.597295e-02 -4.597581e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 1.612903e+00 -1.329839e-01 -1.072451e-01 -4.392760e-01 0.000000e+00 0.000000e+00 0.000000e+00
